normalized_price,Author,date_of_birth,Currency,hasAfter,circleOf,mannerOf,hasFollowers,sale_date,Sign,Technique,Material,Nazi,Framed,square_m,ExhibitedNum,ProvenanceNum,LiteratureNum,CataloguingLength,City,century,nationality,sex,style,repeat_sale,feature1,feature2,day_of_week,month,isUntitled,isNumbered,normalized_estimateto,log_normalized_price,log_normalized_estimateto
1.18478e+06,Henry Moore,1898,USD,1,0,0,0,2019-11-11 00:00:00,1,ink,paper,0,0,0.1648,0,2,0,3485,new york,20,English,M,organic abstraction,1,sculptor,�,Monday,11,0,0,700000,13.9851,13.4588
357672,Pierre Bonnard,1867,USD,1,0,0,0,2010-04-11 00:00:00,1,oil,canvas,0,0,0.1548,0,3,1,2528,new york,20,French,M,nabism,1,�,�,Thursday,11,0,0,351733,12.7874,12.7706
451216,Philip Guston,1913,USD,0,0,0,0,2014-11-13 00:00:00,1,oil,paper,0,0,0.5721,0,3,0,0,new york,20,American,M,abstract expressionism,1,�,�,Thursday,11,1,0,539963,13.0197,13.1993
492657,Andy Warhol,1928,USD,0,0,0,0,2012-12-11 00:00:00,1,ink,canvas,0,0,3.7277,0,0,0,2758,new york,20,American,M,pop-art,1,homosexual,�,Monday,11,0,1,668112,13.1076,13.4122
243252,Willem de Kooning,1904,USD,0,0,0,0,2019-05-16 00:00:00,1,graphite,board,0,0,0.0847,3,2,1,81,new york,20,Netherlander,M,abstract expressionism,1,migrant,�,Thursday,5,1,0,200000,12.4019,12.2061
35884.5,Camille Pissarro,1830,EUR,1,1,0,0,2018-03-22 00:00:00,1,charcoal,paper,0,0,0.1445,0,2,0,139,paris,19,French,M,impressionism,1,�,�,Thursday,3,0,0,11916.1,10.4881,9.38565
211607,Max Ernst,1891,GBP,1,0,0,0,2002-04-02 00:00:00,1,oil,canvas,0,0,0.2839,0,4,1,2283,london,20,German,M,dadaism,1,migrant,�,Monday,2,0,0,220745,12.2625,12.3048
3342.03,Pierre Bonnard,1867,GBP,1,0,0,0,2016-06-24 00:00:00,0,pencil,paper,0,0,0.0284,0,1,0,66,london,20,French,M,nabism,1,�,�,Friday,6,0,0,2757.31,8.11433,7.92201
9.88128e+06,Egon Schiele,1890,USD,1,0,0,1,2010-03-11 00:00:00,1,gouache,paper,0,0,0.1413,11,6,3,10997,new york,20,Austrian,M,expressionism,1,�,�,Wednesday,11,0,0,7.03465e+06,16.1062,15.7664
254423,Damien Hirst,1965,USD,0,0,0,0,2020-10-07 00:00:00,1,etching,canvas,0,0,2.3226,0,2,0,217,new york,21,English,M,installation,1,coeval,�,Friday,7,0,0,250000,12.4468,12.4292
99556.1,Bruce Nauman,1941,GBP,0,0,0,0,2015-12-02 00:00:00,1,graphite,paper,0,0,0.4409,0,2,0,0,london,20,American,M,conceptualism,0,coeval,�,Thursday,2,1,0,62822.2,11.5085,11.0481
44176.3,Max Ernst,1891,USD,1,0,0,0,2008-07-11 00:00:00,1,charcoal,paper,0,0,0.0895,0,2,0,59,new york,20,German,M,dadaism,1,migrant,�,Friday,11,0,0,53434.5,10.6959,10.8862
17170.8,Ed Ruscha,1937,USD,0,0,0,0,2019-09-27 00:00:00,1,lithograph,paper,0,0,0.2632,0,2,2,0,new york,20,American,M,pop-art,1,coeval,�,Friday,9,0,1,12000,9.75096,9.39266
8204.69,Damien Hirst,1965,GBP,0,0,0,0,2012-05-12 00:00:00,1,ink,paper,0,0,0.2105,0,0,0,0,london,21,English,M,installation,1,coeval,�,Wednesday,12,0,1,6485.33,9.01246,8.7773
548251,Pierre Bonnard,1867,GBP,1,0,0,0,2003-06-24 00:00:00,1,gouache,paper,0,0,0.1614,0,1,0,687,london,20,French,M,nabism,1,�,�,Tuesday,6,0,0,449677,13.2145,13.0163
19089.4,Ernst Ludwig Kirchner,1880,GBP,0,0,0,0,2002-03-21 00:00:00,0,ink,paper,0,0,0.1615,0,5,0,74,london,20,German,M,expressionism,1,suicide,�,Thursday,3,0,1,14716.3,9.85689,9.59671
3.33227e+06,Tom Wesselmann,1931,GBP,0,0,0,0,2008-06-02 00:00:00,1,oil,canvas,0,0,8.7891,1,4,3,7246,london,20,American,M,pop-art,1,�,�,Wednesday,2,0,0,2.76633e+06,15.0192,14.833
161497,Maurice de Vlaminck,1876,GBP,1,0,0,0,2004-06-23 00:00:00,1,oil,canvas,0,0,0.5337,1,0,0,189,london,20,French,M,fauvism,1,�,�,Wednesday,6,0,0,122627,11.9922,11.7169
